"affy_hg_u133a_2"	"entrezgene"
"221798_x_at"	26784
"203107_x_at"	26784
"212433_x_at"	26784
"217466_x_at"	26784
"218733_at"	55167
"217466_x_at"	NA
"220501_at"	10881
"205959_at"	4322
"208696_at"	22948
"220780_at"	50487
"202314_at"	401387
"216607_s_at"	401387
"204978_at"	11129
"201232_s_at"	5719
"201233_at"	5719
"221469_at"	2854
"208581_x_at"	4501
"204326_x_at"	4501
"203859_s_at"	5064
"202518_at"	9275
"212480_at"	23384
"207919_at"	417
"221634_at"	NA
"218725_at"	79751
"209079_x_at"	56107
"211876_x_at"	56107
"215836_s_at"	56107
"205717_x_at"	56107
"211066_x_at"	56107
"211873_s_at"	56107
"216352_x_at"	56107
"201622_at"	27044
"216949_s_at"	100188847
"221220_s_at"	55681
"207416_s_at"	NA
"220187_at"	79689
"217333_at"	NA
"200013_at"	6152
"214143_x_at"	6152
"209079_x_at"	56100
"211876_x_at"	56100
"215836_s_at"	56100
"221682_s_at"	56100
"205717_x_at"	56100
"211066_x_at"	56100
"216352_x_at"	56100
"200038_s_at"	NA
"208193_at"	3578
"221129_at"	NA
"220210_at"	57053
"206575_at"	6792
"207754_at"	11228
"207754_at"	100996477
"203488_at"	22859
"204072_s_at"	10129
"214318_s_at"	10129
"214319_at"	10129
"209369_at"	306
"220641_at"	79400
"214355_x_at"	441294
"203663_s_at"	9377
"212651_at"	9886
"215298_at"	NA
"212144_at"	25777
"211676_s_at"	3459
"202727_s_at"	3459
"221008_s_at"	64850
"203947_at"	1479
"205708_s_at"	7226
"214993_at"	253982
"219886_at"	79598
"213384_x_at"	5331
"200726_at"	5501
"221952_x_at"	NA
"208668_x_at"	NA
"218735_s_at"	27300
"216578_at"	NA
"202490_at"	8518
"202491_s_at"	8518
"202188_at"	9688
"219267_at"	NA
"216857_at"	NA
"206915_at"	4821
"201678_s_at"	56941
"201677_at"	56941
"219495_s_at"	7733
"201695_s_at"	4860
"207096_at"	NA
"208607_s_at"	NA
"221940_at"	27079
"206273_at"	NA
"204095_s_at"	8178
"204096_s_at"	8178
"203423_at"	5947
"208417_at"	2251
"206326_at"	2922
"218545_at"	55297
"218467_at"	NA
"48825_at"	51147
"218234_at"	51147
"200650_s_at"	NA
"209857_s_at"	56848
"40273_at"	56848
"213959_s_at"	23322
"215996_at"	NA
"204297_at"	5289
"215394_at"	5289
"206768_at"	6123
"204301_at"	9920
"207101_at"	6843
"213326_at"	6843
"207100_s_at"	6843
"217401_at"	NA
"221534_at"	83638
"206892_at"	269
"214868_at"	9271
"204283_at"	10667
"204282_s_at"	10667
"203650_at"	10544
"205937_at"	10669
"204923_at"	NA
"212126_at"	100616400
"210670_at"	5539
"218374_s_at"	57102
"214729_at"	221830
"213740_s_at"	100130348
"214401_at"	5075
"209994_s_at"	5244
"207819_s_at"	5244
"205886_at"	5968
"219040_at"	79585
"208387_s_at"	10893
"213171_s_at"	10893
"220555_s_at"	79955
"216699_s_at"	3816
"213400_s_at"	6907
"201867_s_at"	6907
"201868_s_at"	6907
"201869_s_at"	6907
"209714_s_at"	1033
"203828_s_at"	9235
"206435_at"	2583
"207035_at"	7781
"212857_x_at"	10923
"214512_s_at"	10923
"221727_at"	10923
"202238_s_at"	4837
"202237_at"	4837
"218399_s_at"	55038
"210931_at"	NA
"215807_s_at"	5364
"215668_s_at"	5364
"212228_s_at"	57017
"210954_s_at"	9819
"204094_s_at"	9819
"210953_at"	9819
"219883_at"	NA
"47773_at"	54455
"221813_at"	54455
"221812_at"	54455
"219004_s_at"	54069
"207259_at"	55018
"205700_at"	8630
"37512_at"	8630
"213703_at"	NA
"222224_at"	342538
"212247_at"	23165
"211099_s_at"	1258
"207342_at"	1258
"210769_at"	1258
"216470_x_at"	NA
"204683_at"	3384
"213620_s_at"	3384
"219367_s_at"	NA
"222056_s_at"	729234
"217969_at"	738
"218431_at"	63894
"213687_s_at"	6165
"215249_at"	6165
"209213_at"	873
"212893_at"	26009
"216874_at"	401014
"216874_at"	100505498
"210103_s_at"	3170
"40284_at"	3170
"215955_x_at"	23092
"205068_s_at"	23092
"205069_s_at"	23092
"209752_at"	5967
"205575_at"	10882
"207024_at"	1144
"221140_s_at"	29933
"205230_at"	22895
"210106_at"	NA
"202592_at"	NA
"205020_s_at"	NA
"211175_at"	11250
"208501_at"	8328
"212005_at"	26099
"212004_at"	26099
"212002_at"	26099
"212003_at"	26099
"211325_x_at"	283345
"217609_at"	283345
"210822_at"	283345
"203071_at"	7869
"201352_at"	10730
"216304_x_at"	10730
"201351_s_at"	10730
"203787_at"	23635
"210829_s_at"	23635
"220247_at"	57082
"221224_s_at"	79877
"221225_at"	79877
"205210_at"	9392
"221235_s_at"	9392
"202804_at"	4363
"202805_s_at"	4363
"202592_at"	2647
"208853_s_at"	821
"208852_s_at"	821
"200068_s_at"	821
"208242_at"	30062
"207460_at"	3004
"212694_s_at"	5096
"218828_at"	57048
"56197_at"	57048
"218089_at"	25980
"217317_s_at"	440248
"207104_x_at"	10859
"211336_x_at"	10859
"220579_at"	NA
"210213_s_at"	3692
"216570_x_at"	NA
"221830_at"	5911
"214487_s_at"	5911
"212390_at"	NA
"208277_at"	5309
"200748_s_at"	NA
"216350_s_at"	7556
"204270_at"	6497
"212713_at"	4239
"200058_s_at"	23020
"214982_at"	23020
"213422_s_at"	54587
"218465_at"	55161
"204548_at"	6770
"210129_s_at"	100526693
"203670_at"	100526693
"211672_s_at"	100526693
"208714_at"	4723
"221267_s_at"	NA
"209112_at"	1027
"221741_s_at"	54915
"214556_at"	6754
"216236_s_at"	144195
"222088_s_at"	144195
"201219_at"	1488
"210554_s_at"	1488
"201218_at"	1488
"201220_x_at"	1488
"210835_s_at"	1488
"203887_s_at"	7056
"203888_at"	7056
"214376_at"	NA
"221703_at"	83990
"219662_at"	79074
"205815_at"	5068
"200822_x_at"	NA
"205426_s_at"	3092
"205425_at"	3092
"211325_x_at"	171220
"203738_at"	55322
"220477_s_at"	NA
"214642_x_at"	NA
"206044_s_at"	673
"200675_at"	975
"221364_at"	2895
"205826_at"	9172
"202875_s_at"	NA
"202876_s_at"	NA
"211097_s_at"	NA
"212270_x_at"	NA
"212537_x_at"	NA
"221026_s_at"	83482
"202571_s_at"	22839
"202570_s_at"	22839
"202572_s_at"	22839
"209917_s_at"	11257
"210241_s_at"	11257
"210886_x_at"	11257
"207683_at"	8456
"201439_at"	8729
"214693_x_at"	NA
"201104_x_at"	NA
"201103_x_at"	NA
"213612_x_at"	NA
"219385_at"	56833
"219386_s_at"	56833
"219736_at"	55521
"204805_s_at"	8971
"202229_s_at"	10523
"202230_s_at"	10523
"217516_x_at"	421
"205784_x_at"	421
"219852_s_at"	79906
"205381_at"	10234
"220199_s_at"	NA
"212102_s_at"	NA
"213971_s_at"	NA
"202193_at"	3985
"217475_s_at"	3985
"210582_s_at"	3985
"204688_at"	8910
"205610_at"	8736
"205568_at"	366
"206375_s_at"	8988
"204580_at"	4321
"215395_x_at"	154754
"200987_x_at"	10197
"209852_x_at"	10197
"209853_s_at"	10197
"200988_s_at"	10197
"221355_at"	1146
"206805_at"	10371
"214214_s_at"	NA
"204600_at"	2049
"1438_at"	2049
"221554_at"	92335
"52169_at"	92335
"214418_at"	NA
"202949_s_at"	2274
"222201_s_at"	NA
"221229_s_at"	55006
"205581_s_at"	4846
"203534_at"	27257
"222145_at"	NA
"81737_at"	NA
"219118_at"	51303
"219117_s_at"	51303
"217837_s_at"	51652
"217837_s_at"	100526767
"214965_at"	124044
"221618_s_at"	51616
"214035_x_at"	NA
"204538_x_at"	NA
"215002_at"	NA
"214938_x_at"	NA
"200680_x_at"	NA
"205373_at"	1496
"220437_at"	55908
"206157_at"	5806
"222068_s_at"	123872
"205542_at"	26872
"219143_s_at"	54913
"220219_s_at"	374819
"200650_s_at"	3939
"202353_s_at"	5718
"202352_s_at"	5718
"207283_at"	56969
"209393_s_at"	9470
"213571_s_at"	9470
"211954_s_at"	3843
"211953_s_at"	3843
"211952_at"	3843
"211955_at"	3843
"57715_at"	51063
"221565_s_at"	51063
"212513_s_at"	23032
"214843_s_at"	23032
"206985_at"	3293
"218580_x_at"	54998
"221462_x_at"	55554
"209594_x_at"	5678
"207733_x_at"	5678
"210126_at"	5678
"220787_at"	NA
"214130_s_at"	728989
"212390_at"	728989
"210505_at"	131
"201527_at"	NA
"201058_s_at"	10398
"210129_s_at"	26140
"203670_at"	26140
"220088_at"	728
"220731_s_at"	55707
"220308_at"	25790
"222364_at"	23446
"201836_s_at"	9913
"201837_s_at"	9913
"201838_s_at"	9913
"206606_at"	3990
"211050_x_at"	100132055
"211050_x_at"	100996442
"211050_x_at"	100996554
"222323_at"	NA
"212699_at"	192683
"218633_x_at"	55347
"201136_at"	5355
"208691_at"	7037
"207332_s_at"	7037
"207038_at"	9120
"35436_at"	NA
"211059_s_at"	NA
"204384_at"	NA
"220663_at"	11141
"212877_at"	3831
"212878_s_at"	3831
"213456_at"	25928
"203315_at"	8440
"204217_s_at"	6253
"34408_at"	6253
"219458_s_at"	63899
"205257_s_at"	273
"41397_at"	55565
"205494_at"	55565
"218724_s_at"	60436
"216262_s_at"	60436
"201797_s_at"	7407
"201796_s_at"	7407
"45653_at"	253980
"221889_at"	253980
"218850_s_at"	8994
"218176_at"	64110
"206492_at"	2272
"202620_s_at"	5352
"202619_s_at"	5352
"215944_at"	NA
"208018_s_at"	3055
"210069_at"	NA
"210070_s_at"	NA
"204193_at"	NA
"202296_s_at"	11079
"202297_s_at"	11079
"213296_at"	11079
"200023_s_at"	NA
"209749_s_at"	1636
"209079_x_at"	56106
"211876_x_at"	56106
"215836_s_at"	56106
"211875_x_at"	56106
"205717_x_at"	56106
"211066_x_at"	56106
"216352_x_at"	56106
"221684_s_at"	60506
"202878_s_at"	22918
"202877_s_at"	22918
"208188_at"	3857
"217835_x_at"	100527943
"221711_s_at"	29086
"207409_at"	3950
"201938_at"	8099
"207093_s_at"	4974
"219624_at"	9530
"222384_at"	284649
"210978_s_at"	8407
"200916_at"	8407
"202636_at"	7844
"203657_s_at"	8722
"208677_s_at"	682
"214655_at"	2830
"217720_at"	NA
"37462_i_at"	8175
"209381_x_at"	8175
"204002_s_at"	3382
"207949_s_at"	3382
"210547_x_at"	3382
"211740_at"	3382
"217835_x_at"	55969
"216288_at"	10800
"213195_at"	201229
"32137_at"	3714
"209784_s_at"	3714
"209343_at"	80303
"209043_at"	9061
"206696_at"	4935
"205781_at"	9605
"221427_s_at"	81669
"203294_s_at"	3998
"203293_s_at"	3998
"208314_at"	10692
"214340_at"	NA
"203012_x_at"	NA
"208834_x_at"	NA
"213084_x_at"	NA
"208825_x_at"	NA
"216186_at"	NA
"206960_at"	2846
"204165_at"	8936
"214662_at"	23160
"203926_x_at"	513
"213041_s_at"	513
"219894_at"	NA
"218379_at"	10179
"214615_at"	27334
"217935_s_at"	55245
"212334_at"	2799
"212335_at"	2799
"203676_at"	2799
"201104_x_at"	55672
"212854_x_at"	55672
"215434_x_at"	55672
"201104_x_at"	101059961
"212854_x_at"	101059961
"215434_x_at"	101059961
"201104_x_at"	101060202
"212854_x_at"	101060202
"215434_x_at"	101060202
"201104_x_at"	101060362
"212854_x_at"	101060362
"215434_x_at"	101060362
"211682_x_at"	10720
"221057_at"	NA
"213834_at"	440073
"213834_at"	100996825
"218625_at"	51299
"219675_s_at"	80146
"220451_s_at"	79444
"203194_s_at"	4928
"203195_s_at"	4928
"210793_s_at"	4928
"215770_at"	8587
"205798_at"	3575
"206335_at"	2588
"217349_s_at"	4007
"208836_at"	NA
"221973_at"	100506123
"220943_s_at"	55471
"216418_at"	NA
"220890_s_at"	NA
"212482_at"	64795
"212478_at"	64795
"212479_s_at"	64795
"201653_at"	10175
"201928_at"	NA
"204739_at"	NA
"210922_at"	NA
"202998_s_at"	4017
"202999_s_at"	4017
"202997_s_at"	4017
"215444_s_at"	11074
"210159_s_at"	11074
"208170_s_at"	11074
"206269_at"	8521
"209233_at"	NA
"215970_at"	100130331
"218682_s_at"	22950
"214444_s_at"	5817
"32699_s_at"	5817
"216283_s_at"	5817
"212662_at"	5817
"214443_at"	5817
"215970_at"	NA
"221359_at"	2668
"218571_s_at"	NA
"218572_at"	NA
"203074_at"	244
"218318_s_at"	51701
"202821_s_at"	4026
